IPM Region,State,Resource Class,1,2,3,4,5,6
ERC_PHDL,TX,6,1,1,2,3,6,167
,,7,7,11,13,18,21,173
ERC_REST,TX,5,1,1,1,1,2,174
,,6,1,1,1,2,2,237
,,7,4,7,14,16,24,357
ERC_WEST,TX,6,1,2,2,2,2,230
,,7,2,2,4,5,5,288
,,8,14,63,91,107,116,555
FRCC,FL,5,1,2,3,3,4,327
,,6,1,1,1,1,1,177
,,7,10,95,362,,,
MIS_AMSO,LA,5,1,2,2,2,,167
,,6,1,1,2,3,3,142
MIS_AR,AR,4,3,3,6,7,8,144
,,5,2,2,2,2,2,217
MIS_D_MS,MS,5,1,1,3,3,3,224
,,6,4,130,442,457,,
MIS_IA,IA,3,1,2,3,4,5,160
,,4,1,1,2,3,3,206
,MN,3,1,4,8,66,75,157
,,4,7,10,25,55,65,185
MIS_IL,IL,4,1,1,1,1,1,184
,,5,147,347,,,,
MIS_INKY,IN,3,1,2,4,5,6,119
,,4,1,1,1,2,3,122
,KY,4,2,6,7,9,14,126
,,5,116,,,,,
MIS_LA,LA,5,1,1,1,2,2,174
,,6,1,3,4,5,6,61
MIS_LMI,MI,3,1,1,1,2,2,248
,,4,4,8,20,27,38,256
MIS_MAPP,MT,3,3,3,4,6,,201
,,4,1,2,3,4,7,266
,ND,3,1,2,2,2,3,272
,,4,1,1,1,1,1,263
,SD,3,182,210,267,275,276,318
,,4,12,16,71,96,103,177
MIS_MIDA,IA,3,1,2,4,8,10,139
,,4,1,2,3,3,4,154
MIS_MNWI,MI,3,17,329,347,362,378,407
,MN,3,1,1,2,2,2,257
,,4,5,10,14,18,20,132
,SD,3,112,142,164,192,214,337
,,4,35,140,148,155,165,214
,WI,3,1,3,5,8,9,231
,,4,6,21,98,132,,
MIS_MO,IA,4,16,44,111,171,178,224
,MO,4,,1,1,1,1,160
,,5,5,12,17,20,25,139
MIS_WOTA,LA,5,1,1,2,6,7,208
,,6,109,307,,,,
,TX,5,2,2,3,3,4,119
MIS_WUMS,MI,3,1,4,11,14,14,251
,WI,3,1,1,2,2,2,133
,,4,1,2,2,3,3,85
NENG_CT,CT,3,1,1,1,2,2,59
,,4,1,1,1,1,1,43
NENG_ME,ME,3,1,1,1,1,2,322
,,4,6,14,47,129,129,
NENGREST,MA,3,1,1,2,2,2,82
,,4,1,1,1,2,2,83
,NH,3,1,2,3,3,4,108
,RI,3,2,6,9,14,16,50
,,4,4,6,8,12,15,65
,VT,3,1,2,3,3,4,141
NY_Z_A,NY,3,1,1,2,2,3,343
NY_Z_B,NY,3,1,1,2,4,4,430
NY_Z_C&E,NY,3,,1,1,1,1,311
NY_Z_D,NY,3,1,1,2,4,5,314
NY_Z_F,NY,3,1,1,2,2,2,171
NY_Z_G-I,NY,3,1,1,1,1,1,62
,,4,1,2,2,3,3,18
NY_Z_J,NY,3,10,15,,,,
,,4,1,2,4,5,6,13
NY_Z_K,NY,3,3,,,,,
,,4,1,1,2,2,3,87
PJM_AP,MD,3,3,8,14,24,33,135
,,4,1,2,2,3,6,48
,PA,3,1,2,2,3,4,84
,,4,1,4,8,16,20,53
,VA,4,2,5,5,6,7,89
,WV,3,1,2,3,4,4,60
,,4,1,2,2,4,4,104
PJM_ATSI,OH,3,,1,1,1,,134
,,4,2,3,4,4,5,189
,PA,3,1,1,2,2,3,203
PJM_COMD,IL,3,1,1,1,1,2,63
,,4,1,1,1,1,1,141
PJM_Dom,NC,4,1,5,7,10,14,318
,,5,2,6,8,9,15,318
,VA,4,1,1,2,2,2,176
,,5,1,1,2,2,2,196
PJM_EMAC,DE,4,1,4,5,7,10,116
,MD,4,2,6,8,9,11,116
,,5,82,95,,,,
,NJ,3,2,4,5,7,12,69
,,4,1,1,2,2,3,70
,PA,3,5,36,,,,
,,4,1,1,2,3,4,91
,VA,4,9,16,24,36,42,85
,,5,13,48,89,131,145,
PJM_PENE,PA,3,1,1,1,1,,154
,,4,72,,,,,
PJM_SMAC,DC,4,4,9,,,,
,MD,4,1,1,1,2,2,54
PJM_West,IN,3,3,6,8,9,11,152
,,4,1,4,6,6,7,153
,KY,4,1,2,2,3,3,162
,MI,3,3,8,13,16,28,91
,,4,25,83,107,150,,
,OH,3,1,1,1,2,3,146
,,4,1,1,1,1,1,121
,TN,4,7,,,,,
,VA,4,1,1,2,2,2,104
,,5,83,,,,,
,WV,3,4,11,64,198,,
,,4,1,2,3,4,5,60
PJM_WMAC,PA,3,1,1,1,1,1,91
,,4,1,1,1,2,2,71
S_C_KY,KY,4,1,1,1,2,2,117
S_C_TVA,AL,4,1,3,6,11,21,240
,,5,1,3,5,7,9,196
,GA,4,8,11,21,280,340,357
,,5,4,9,14,49,238,366
,IL,4,163,297,319,333,,
,KY,4,3,5,8,11,15,202
,,5,12,40,62,94,317,398
,MS,5,4,7,9,12,13,163
,NC,4,8,19,128,,,
,,5,7,12,22,107,,
,TN,4,1,1,1,2,2,213
,,5,1,1,2,3,4,280
,VA,4,12,24,35,53,237,308
S_D_AECI,MO,4,1,2,2,2,3,193
,,5,1,3,7,7,9,226
S_SOU,AL,5,1,2,2,3,4,204
,,6,1,5,8,11,15,244
,FL,5,1,3,3,5,7,161
,,6,2,3,7,8,9,172
,GA,4,9,234,413,425,,
,,5,1,1,1,1,2,312
,,6,3,4,5,6,7,441
,MS,5,5,7,9,12,26,346
,,6,6,12,298,,,
S_VACA,GA,5,30,142,301,323,331,346
,NC,4,1,1,2,2,3,149
,,5,1,1,1,1,2,164
,SC,5,1,2,2,2,3,163
SPP_N,KS,4,1,3,5,6,6,211
,,5,1,2,2,3,4,283
,,6,1,10,13,16,19,203
,MO,4,1,2,3,3,3,164
,,5,1,2,4,6,8,137
SPP_NEBR,KS,4,316,349,353,359,365,396
,,5,350,357,363,369,376,409
,NE,4,1,2,3,3,4,262
,,5,3,5,9,9,9,286
SPP_SPS,NM,6,155,296,414,,,
,,7,2,7,11,13,19,230
,OK,6,9,17,24,27,31,163
,TX,6,1,2,7,9,12,244
,,7,4,9,12,16,18,222
SPP_WAUE,MN,3,62,150,160,163,169,224
,MT,3,32,54,65,67,67,183
,,4,435,,,,,
,ND,3,4,10,11,14,17,256
,,4,75,129,147,169,175,243
,SD,3,1,2,3,3,5,393
,,4,1,3,4,4,5,321
,,5,11,171,311,332,342,367
SPP_WEST,AR,4,2,10,27,46,105,236
,,5,1,2,4,7,9,216
,LA,5,9,18,93,114,124,203
,MO,4,8,17,49,168,180,301
,,5,2,8,13,21,33,218
,OK,4,57,268,418,,,
,,5,1,1,3,4,5,236
,,6,3,7,11,14,17,349
,TX,5,7,11,18,20,23,111
,,6,388,,,,,
WEC_BANC,CA,5,5,7,7,7,8,140
,,6,,1,1,1,1,101
WEC_CALN,CA,3,4,34,322,429,469,502
,,4,2,4,6,11,19,409
,,5,1,1,1,1,1,150
,,6,,1,,1,,220
,,7,1,3,4,5,5,347
WEC_LADW,CA,5,93,170,216,217,,
,,6,1,1,1,2,2,179
,,7,1,1,1,2,2,196
,,8,40,40,,,,
WEC_SDGE,CA,6,1,1,1,1,2,19
,,7,1,1,2,3,3,54
,,8,6,,,,,
WECC_AZ,AZ,6,1,2,3,4,6,312
,,7,1,1,1,1,2,230
,,8,1,2,4,5,6,313
WECC_CO,CO,4,1,2,3,3,4,202
,,5,1,1,1,1,1,284
,,6,1,1,1,2,2,316
,,7,67,330,409,424,437,
WECC_ID,ID,3,1,9,15,19,26,348
,,4,1,1,1,2,2,221
,,5,1,1,2,3,3,261
WECC_IID,CA,7,2,8,16,16,17,475
,,8,1,2,2,2,2,374
WECC_MT,MT,3,,1,,1,1,287
,,4,1,1,1,1,2,202
WECC_NM,NM,5,11,15,33,55,75,440
,,6,1,1,1,1,2,363
,,7,1,1,1,1,1,300
,,8,1,4,5,5,6,269
,TX,7,3,17,18,23,41,251
,,8,1,3,3,5,6,154
WECC_NNV,NV,4,34,34,44,44,56,473
,,5,2,5,7,7,8,522
,,6,,1,1,1,1,384
,,7,1,1,2,3,3,370
WECC_PNW,CA,3,178,,,,,
,,4,207,346,,,,
,,5,3,8,12,17,22,188
,ID,3,3,8,10,12,13,196
,,4,151,391,,,,
,,5,325,,,,,
,OR,3,1,2,3,3,4,188
,,4,1,1,2,3,4,254
,,5,2,3,5,6,8,341
,WA,3,1,1,3,4,6,156
,,4,1,1,1,2,3,155
WECC_SCE,CA,5,7,,,,,
,,6,1,1,1,1,1,254
,,7,1,1,1,1,1,235
,,8,1,2,4,4,5,219
WECC_SNV,NV,7,1,1,1,2,3,82
WECC_UT,UT,3,270,323,329,338,340,374
,,4,1,1,2,4,6,263
,,5,1,1,1,1,1,245
,,6,1,1,1,2,2,462
,,7,3,5,8,9,11,392
WECC_WY,NE,5,133,139,143,148,149,213
,SD,4,1,4,5,10,11,188
,,5,6,8,8,9,9,224
,WY,3,10,12,12,16,16,176
,,4,,1,1,1,1,195
,,5,1,1,1,1,1,254
CN_AB,AB,2,2,5,8,14,22,133
CN_BC,BC,2,1,2,3,4,6,82
CN_MB,MB,2,1,2,3,4,6,120
CN_NS,NS,2,5,17,43,53,67,84
CN_ON,ON,2,1,1,1,1,1,84
,,3,79,,,,,
CN_PQ,PQ,2,1,1,1,1,2,37
CN_SK,SK,2,8,81,103,104,106,197
