IPM Region,State,Resource Class,1,2,3,4,5,6
ERC_PHDL,TX,1,85,137,152,184,206,270
,,2,15,41,51,59,79,183
,,3,42,80,104,125,153,232
,,4,151,211,257,281,339,
,,5,105,134,158,176,205,301
,,6,139,202,246,279,313,337
,,7,172,236,267,,,
,,8,137,,,,,
ERC_REST,TX,1,199,,,,,
,,2,157,,,,,
,,3,297,443,,,,
,,4,147,279,330,385,437,
,,5,34,100,163,197,224,353
,,6,18,38,63,82,98,302
,,7,20,58,76,98,107,289
,,8,96,175,209,234,257,373
ERC_WEST,TX,1,53,217,302,,,
,,2,49,74,107,126,155,268
,,3,44,78,99,108,113,257
,,4,23,64,68,75,82,251
,,5,18,27,29,30,36,237
,,6,23,27,40,58,65,279
,,7,123,144,159,165,173,419
,,8,379,405,438,466,485,601
FRCC,FL,7,75,,,,,
,,8,21,99,196,334,,
MIS_AMSO,LA,6,78,,,,,
,,7,78,,,,,
,,8,39,,,,,
MIS_AR,AR,4,18,,,,,
,,5,16,,,,,
,,6,132,,,,,
,,7,23,57,83,102,144,312
,,8,28,56,80,104,115,257
MIS_D_MS,MS,7,200,,,,,
,,8,30,137,190,219,238,328
MIS_IA,IA,1,40,,,,,
,,2,233,263,316,,,
,,3,149,179,221,250,255,291
,,4,77,135,151,154,164,258
,,5,33,56,62,70,98,232
,,6,16,33,46,52,60,225
,,7,78,118,137,159,166,230
,,8,177,,,,,
,MN,1,117,,,,,
,,2,126,190,,,,
,,3,143,187,217,,,
,,4,197,230,,,,
,,5,139,172,198,,,
MIS_IL,IL,5,119,182,251,,,
,,6,16,35,45,56,67,148
,,7,16,39,52,66,78,186
,,8,73,147,178,195,210,296
MIS_INKY,IN,5,113,192,,,,
,,6,19,39,65,86,106,165
,,7,12,49,76,99,117,188
,,8,45,96,124,142,152,188
,KY,7,95,,,,,
,,8,33,62,93,128,168,209
MIS_LA,LA,7,59,221,314,,,
,,8,18,56,83,105,118,216
MIS_LMI,MI,1,45,,,,,
,,3,66,,,,,
,,4,48,,,,,
,,5,121,,,,,
,,6,99,236,314,438,,
,,7,16,43,74,104,134,286
,,8,140,317,369,423,478,565
MIS_MAPP,MT,1,68,156,218,301,393,
,,2,92,129,196,236,273,318
,,3,34,65,118,134,157,269
,,4,28,35,41,64,71,246
,,5,18,22,28,35,45,251
,,6,18,35,49,55,64,266
,,7,75,107,113,123,155,280
,,8,156,206,230,247,284,
,ND,1,19,105,306,346,365,420
,,2,119,239,279,307,329,387
,,3,19,30,35,40,52,267
,,4,14,26,29,38,40,253
,,5,16,38,54,68,69,281
,,6,78,125,187,197,204,346
,,7,381,482,,,,
,SD,1,188,331,,,,
,,2,129,179,,,,
,,3,130,291,,,,
,,4,80,91,123,256,,
,,5,163,308,,,,
MIS_MIDA,IA,1,32,,,,,
,,2,39,75,94,119,134,206
,,3,27,45,65,75,83,180
,,4,29,71,95,108,109,204
,,5,26,52,79,88,100,202
,,6,17,37,57,74,78,173
,,7,88,144,201,277,,
MIS_MNWI,MI,6,104,,,,,
,,7,352,,,,,
,,8,283,,,,,
,MN,1,132,,,,,
,,2,73,117,159,204,,
,,3,52,138,210,240,,
,,4,43,103,146,208,245,
,,5,31,63,83,100,112,240
,,6,36,68,91,115,130,232
,,7,52,107,131,161,188,291
,,8,211,433,601,,,
,SD,1,150,,,,,
,,2,197,,,,,
,,3,205,,,,,
,,4,229,,,,,
,,5,233,,,,,
,WI,6,116,174,,,,
,,7,31,66,91,110,126,199
,,8,40,86,131,189,244,366
MIS_MO,IA,6,221,,,,,
